| model                          |       size |     params | backend    | threads |            test |                  t/s |
| ------------------------------ | ---------: | ---------: | ---------- | ------: | --------------: | -------------------: |
| openelm 3B F16                 |   5.66 GiB |     3.04 B | CPU        |       1 |            pp12 |          8.10 ± 0.00 |
| openelm 3B F16                 |   5.66 GiB |     3.04 B | CPU        |       1 |             tg6 |          4.73 ± 0.00 |
| openelm 3B F16                 |   5.66 GiB |     3.04 B | CPU        |       2 |            pp12 |         15.24 ± 0.00 |
| openelm 3B F16                 |   5.66 GiB |     3.04 B | CPU        |       2 |             tg6 |          8.70 ± 0.01 |
| openelm 3B F16                 |   5.66 GiB |     3.04 B | CPU        |       3 |            pp12 |         20.86 ± 0.00 |
| openelm 3B F16                 |   5.66 GiB |     3.04 B | CPU        |       3 |             tg6 |         12.36 ± 0.01 |
| openelm 3B F16                 |   5.66 GiB |     3.04 B | CPU        |       4 |            pp12 |         23.57 ± 0.00 |
| openelm 3B F16                 |   5.66 GiB |     3.04 B | CPU        |       4 |             tg6 |         15.51 ± 0.00 |

build: 3df2244d (6700)
