| model                          |       size |     params | backend    | threads |            test |                  t/s |
| ------------------------------ | ---------: | ---------: | ---------- | ------: | --------------: | -------------------: |
| openelm 3B Q8_0                |   3.01 GiB |     3.04 B | CPU        |       1 |            pp12 |         10.21 ± 0.00 |
| openelm 3B Q8_0                |   3.01 GiB |     3.04 B | CPU        |       1 |             tg6 |          5.25 ± 0.01 |
| openelm 3B Q8_0                |   3.01 GiB |     3.04 B | CPU        |       2 |            pp12 |         20.30 ± 0.00 |
| openelm 3B Q8_0                |   3.01 GiB |     3.04 B | CPU        |       2 |             tg6 |          9.51 ± 0.00 |
| openelm 3B Q8_0                |   3.01 GiB |     3.04 B | CPU        |       3 |            pp12 |         28.69 ± 0.01 |
| openelm 3B Q8_0                |   3.01 GiB |     3.04 B | CPU        |       3 |             tg6 |         13.44 ± 0.00 |
| openelm 3B Q8_0                |   3.01 GiB |     3.04 B | CPU        |       4 |            pp12 |         36.95 ± 0.02 |
| openelm 3B Q8_0                |   3.01 GiB |     3.04 B | CPU        |       4 |             tg6 |         17.33 ± 0.01 |

build: 3df2244d (6700)
